MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
Idli&Vada,Mixed Paratha/Aloo Paratha,Poha & Jalebi,Poori,Uthappam,Chole Bhature,Pav Bhaji and Pongal
Sambar & Kara Chutney,Curd and Tomato Sauce,Fried green chilli & Lemon & Coconut Chutney,Aloo sabzi & Pickle,Sambar & Kara Chutney,Bread & Butter & Jam,Bread & Butter & Jam
Bread & Butter & Jam,Bread & Butter & Jam,Bread & Butter & Jam,Bread & Butter & Jam,Bread & Butter & Jam,Tea & Coffee & Milk,Tea & Coffee & Milk
Tea & Coffee & Milk,Tea & Coffee & Milk,Tea & Coffee & Milk,Tea & Coffee & Milk,Tea & Coffee & Milk,.,.
Banana,Banana,Banana,Banana,.,.,.
Boiled Egg,Fruit Salad,.,Boiled Egg,.,Fruit Salad,Fruit Salad
,,,LUNCH (North Indian),,,
Poori,Dosa,Idli & Vada,Pongal & Vada,.,Pongal & Vada,Idli & Vada
chapati,Chappathi,Chappathi,Chappathi,Poori,Kitchedi ,Aloo 65
Rajma,Dry french beans and aloo,Sev Tamatar (thick gravy),Dum Aloo  ,Aloo Mutter Capsicum Masala,Channa Masala ,Chappathi
White Rice ,White Rice ,White Rice & Sambar,White Rice,Tamirind Rice,Chappathi,White Rice
Masoor Dal,Jain Dal,Rasam,Dal Makhani,Green Dal,.,Pakoda Kadi and Dal
Curd,Butter Milk,Curd,Curd,Rice Kheer ,Curd,Curd
,,,LUNCH (south Indian),,,
Lemon Rice,Tamarind Rice,Coconut Rice ,Pudina Rice ,Chappathi,Curd Rice ,Sambar Satham
White Rice ,White Rice ,White Rice ,White Rice ,Veg Kurma,White Rice,Fryams
Carrot Beans Poriyal,Kootu,NIL,Aviyal,White Rice & Potato Porial,Cabbage Poriyal,Sambhar
Shai Kurma ,Dal Makhani,Veg Mix Masala,Shai Capsi Veg,Panchmel Dal,Channa Masala ,Rajasthani Kadi
,,,SNACKS,,,
Vada Pav x 2 and fried chilli,Dahi Wada,black chana chat,Masala Noodles,Hara bhara kabab,Kachori,Medu Vada
,,,DINNER,,,
Tomato Soup,hot and sour Soup,Sweet Corn Soup,tomato Soup,hot and sour Soup,Sproud Salad,Chicken Biryani
Chappathi,Chappathi,Chappathi,Channa Khurma,Ghee Paratha ,Chappathi,Veg fried rice
Baingan Bharta,Malai Kofta,Kadai Paneer,Ghee Paratha ,Paneer Butter Masala,Jaipuri Dal,Chilli Paneer (dry)
Jeera Rice,Veg Pulao,White Rice,.,White Rice,White Rice,Chappthi
Punjabi Dal,Dal Panchratan,Chicken Jalfrezi,White Rice ,Pepper Chicken ,Dry Bhindi ,Onion Raitha
Gulab Jamun,.,Tomato Dal,Dal Fry,.,Brown Sooji Halwa,.
Jain Dal,Dal Panchratan,Shai Paneer ,Dal Thadka,Paneer Dal Curry,Veg Masala,Paneer Kolhapuri
